run,profit,sales,lost,leftover,refilled,distance
0,2780.0,1000,305,0,800,98.0
1,2196.0,986,409,14,808,162.0
2,2180.0,993,434,7,811,138.0
3,1732.0,937,378,63,813,180.0
4,2476.0,1000,381,0,800,119.0
5,2252.0,1000,437,0,800,111.0
6,2088.0,986,436,14,820,160.0
7,1864.0,956,402,44,815,169.0
8,2176.0,988,420,12,806,136.0
9,2096.0,987,437,13,812,152.0
10,2364.0,1000,409,0,801,130.0
11,2388.0,1000,403,0,800,124.0
12,2340.0,997,406,3,803,134.0
13,1568.0,945,443,55,823,184.0
14,1816.0,960,426,40,819,184.0
15,2488.0,996,366,4,810,150.0
16,2588.0,994,335,6,812,150.0
17,1692.0,948,421,52,829,190.0
18,2536.0,1000,366,0,800,116.0
19,2128.0,992,444,8,803,153.0
20,2296.0,991,399,9,806,138.0
21,2004.0,976,427,24,814,163.0
22,2372.0,984,359,16,819,158.0
23,2552.0,1000,362,0,809,116.0
24,2272.0,986,390,14,829,190.0
25,2376.0,987,367,13,830,190.0
26,2468.0,997,374,3,818,156.0
27,2176.0,995,441,5,813,132.0
28,2580.0,998,349,2,800,128.0
29,2316.0,989,388,11,806,140.0
30,2404.0,1000,399,0,800,123.0
31,2172.0,986,415,14,837,182.0
32,2352.0,995,397,5,825,152.0
33,2468.0,1000,383,0,800,117.0
34,2164.0,980,399,20,806,146.0
35,2416.0,993,375,7,806,134.0
36,2448.0,995,373,5,821,154.0
37,2572.0,1000,357,0,800,121.0
38,2444.0,991,362,9,806,137.0
39,2296.0,988,390,12,841,182.0
40,2108.0,973,392,27,830,180.0
41,2512.0,991,345,9,822,174.0
42,2480.0,998,374,2,816,146.0
43,2760.0,1000,310,0,800,91.0
44,2108.0,976,401,24,822,159.0
45,2436.0,1000,391,0,812,150.0
46,2320.0,999,417,1,807,121.0
47,2436.0,987,352,13,828,182.0
48,2396.0,999,398,1,812,148.0
49,2184.0,992,430,8,835,162.0
50,2612.0,998,341,2,829,144.0
51,2160.0,983,409,17,816,177.0
52,2476.0,986,339,14,838,179.0
53,2060.0,983,434,17,826,177.0
54,2428.0,1000,393,0,800,99.0
55,2568.0,994,340,6,804,124.0
56,2416.0,999,393,1,806,115.0
57,1980.0,956,373,44,832,192.0
58,2072.0,989,449,11,825,162.0
59,2404.0,997,390,3,802,131.0
60,2432.0,999,389,1,820,158.0
61,2336.0,996,404,4,810,148.0
62,1716.0,954,433,46,827,182.0
63,2476.0,987,342,13,813,162.0
64,2300.0,979,362,21,823,168.0
65,2448.0,998,382,2,818,149.0
66,2256.0,993,415,7,811,166.0
67,2604.0,998,343,2,805,130.0
68,2480.0,985,335,15,819,164.0
69,2504.0,989,341,11,816,159.0
70,2304.0,994,406,6,813,142.0
71,1868.0,971,446,29,821,188.0
72,2100.0,994,457,6,800,148.0
73,2140.0,985,420,15,817,184.0
74,1732.0,957,438,43,818,181.0
75,2296.0,998,420,2,808,133.0
76,2764.0,995,294,5,805,148.0
77,2356.0,985,366,15,827,186.0
78,2272.0,988,396,12,823,186.0
79,2580.0,993,334,7,804,136.0
80,2528.0,990,338,10,810,160.0
81,2704.0,1000,324,0,800,113.0
82,2352.0,996,400,4,805,126.0
83,2332.0,992,393,8,811,157.0
84,1984.0,971,417,29,813,156.0
85,2060.0,994,467,6,813,166.0
86,2076.0,981,424,19,824,156.0
87,1820.0,967,446,33,817,186.0
88,2236.0,1000,441,0,800,126.0
89,2528.0,1000,368,0,803,131.0
90,1892.0,964,419,36,821,190.0
91,2008.0,966,396,34,810,176.0
92,2344.0,988,378,12,825,156.0
93,2352.0,984,364,16,814,158.0
94,2080.0,989,447,11,830,184.0
95,2492.0,993,356,7,824,160.0
96,2380.0,993,384,7,809,136.0
97,2172.0,1000,457,0,800,119.0
98,2248.0,991,411,9,825,154.0
99,2420.0,982,341,18,809,160.0
100,2384.0,989,371,11,829,174.0
101,2036.0,968,395,32,829,174.0
102,2364.0,989,376,11,804,131.0
103,2276.0,996,419,4,800,127.0
104,2368.0,987,369,13,819,164.0
105,2108.0,991,446,9,823,163.0
106,2416.0,997,387,3,809,138.0
107,2288.0,987,389,13,822,179.0
108,2568.0,1000,358,0,800,123.0
109,2312.0,986,380,14,815,156.0
110,2296.0,998,420,2,808,134.0
111,2296.0,996,414,4,802,132.0
112,1940.0,975,440,25,819,170.0
113,1248.0,912,424,88,811,179.0
114,2468.0,988,347,12,812,142.0
115,1868.0,973,452,27,817,177.0
116,2296.0,999,423,1,804,128.0
117,2604.0,1000,349,0,800,103.0
118,2244.0,997,430,3,810,129.0
119,2580.0,990,325,10,815,158.0
120,2184.0,1000,454,0,800,116.0
121,2532.0,1000,367,0,824,160.0
122,2608.0,1000,348,0,813,138.0
123,2100.0,991,448,9,822,172.0
124,2372.0,983,356,17,827,154.0
125,1616.0,948,440,52,816,190.0
126,2164.0,986,417,14,824,181.0
127,2120.0,987,431,13,808,126.0
128,2284.0,1000,429,0,800,140.0
129,2064.0,971,397,29,846,182.0
130,2736.0,998,310,2,801,121.0
131,2056.0,978,420,22,820,180.0
132,2344.0,996,402,4,817,140.0
133,2608.0,995,333,5,805,123.0
134,2184.0,975,379,25,804,146.0
135,2304.0,983,373,17,819,182.0
136,2136.0,997,457,3,801,119.0
137,2504.0,999,371,1,800,126.0
138,2316.0,994,403,6,800,146.0
139,2396.0,995,386,5,810,136.0
140,2304.0,969,331,31,837,184.0
141,2100.0,972,391,28,811,176.0
142,2352.0,1000,412,0,800,119.0
143,2256.0,1000,436,0,800,124.0
144,2460.0,1000,385,0,800,113.0
145,2284.0,996,417,4,813,151.0
146,1316.0,918,425,82,809,194.0
147,2540.0,999,362,1,803,123.0
148,2252.0,1000,437,0,800,90.0
149,2540.0,997,356,3,822,158.0
150,2336.0,997,407,3,804,129.0
151,2200.0,967,351,33,829,186.0
152,2248.0,978,372,22,833,178.0
153,1820.0,945,380,55,813,190.0
154,1556.0,946,449,54,810,183.0
155,2328.0,990,388,10,839,168.0
156,2508.0,1000,373,0,800,111.0
157,2164.0,994,441,6,803,131.0
158,2672.0,997,323,3,802,129.0
159,2000.0,959,377,41,823,188.0
160,2224.0,985,399,15,819,154.0
161,1668.0,936,391,64,818,192.0
162,2336.0,995,401,5,802,134.0
163,2224.0,990,414,10,830,164.0
164,1892.0,962,413,38,820,173.0
165,2468.0,1000,383,0,807,134.0
166,2792.0,1000,302,0,800,122.0
167,2128.0,998,462,2,811,158.0
168,1908.0,976,451,24,844,177.0
169,2152.0,986,420,14,815,162.0
170,2264.0,979,371,21,838,187.0
171,1652.0,956,455,44,828,183.0
172,1944.0,972,430,28,814,182.0
173,2032.0,979,429,21,820,166.0
174,2632.0,1000,342,0,805,116.0
175,2464.0,996,372,4,806,142.0
176,2504.0,998,368,2,802,118.0
177,2572.0,997,348,3,803,121.0
178,2328.0,990,388,10,830,188.0
179,2064.0,971,397,29,830,180.0
180,2088.0,991,451,9,804,132.0
181,2556.0,1000,361,0,800,124.0
182,2464.0,994,366,6,816,136.0
183,1776.0,968,460,32,828,192.0
184,2084.0,989,446,11,842,185.0
185,2392.0,998,396,2,802,126.0
186,1936.0,984,468,16,823,186.0
187,2228.0,995,428,5,803,128.0
188,2340.0,987,376,13,811,157.0
189,2248.0,984,390,16,831,184.0
190,2404.0,1000,399,0,813,128.0
191,2224.0,1000,444,0,800,125.0
192,2144.0,980,404,20,811,158.0
193,2264.0,985,389,15,841,188.0
194,2620.0,997,336,3,800,115.0
195,2620.0,998,339,2,800,138.0
196,2116.0,964,363,36,841,181.0
197,2228.0,992,419,8,800,123.0
198,1948.0,957,384,43,827,186.0
199,1356.0,918,415,82,809,190.0
200,2316.0,992,397,8,820,165.0
201,2164.0,987,420,13,815,166.0
202,2284.0,984,381,16,827,176.0
203,2488.0,1000,378,0,800,100.0
204,2272.0,995,417,5,815,162.0
205,1972.0,977,438,23,838,173.0
206,2076.0,986,439,14,813,150.0
